User_ID,Age_Group,Personality_Type,Person_Profile_Type,Scenario,Response_Time,Task_Completed,Frustration_Level,Quit_Midway,Retry_After_Failure,Preferred_Style,Distraction_Count,Self_Reported_Stress
U001,18–25,Impatient,Happy Learner,Waiting,1047,Yes,9,No,Yes,Long-Term Effort,8,Low
U002,26–35,Impatient,Fast-Result Seeker,Learning,1198,No,4,No,Yes,Quick Results,0,Medium
U003,26–35,Patient,Happy Learner,Learning,73,Yes,4,No,Yes,Quick Results,2,High
U004,18–25,Patient,Happy Learner,Decision-Making,390,No,9,Yes,No,Long-Term Effort,10,High
U005,26–35,Patient,Confused Beginner,Waiting,307,Yes,2,No,Yes,Quick Results,3,High
U006,18–25,Impatient,Fast-Result Seeker,Working,110,No,2,No,No,Quick Results,3,Low
U007,26–35,Impatient,Confused Beginner,Waiting,858,No,1,No,No,Long-Term Effort,6,Medium
U008,26–35,Patient,Happy Learner,Waiting,324,No,10,Yes,Yes,Quick Results,10,Low
U009,36–45,Impatient,Silent Achiever,Working,1108,No,10,Yes,No,Quick Results,4,Low
U010,36–45,Impatient,Confused Beginner,Working,265,Yes,6,No,Yes,Quick Results,6,Medium
U011,26–35,Impatient,Silent Achiever,Waiting,181,Yes,8,No,Yes,Long-Term Effort,10,High
U012,18–25,Impatient,Struggler,Working,643,Yes,9,No,Yes,Long-Term Effort,2,Low
U013,18–25,Impatient,Happy Learner,Waiting,179,Yes,4,No,Yes,Quick Results,2,High
U014,18–25,Patient,Struggler,Decision-Making,838,No,9,Yes,No,Quick Results,2,High
U015,18–25,Patient,Burnout Survivor,Decision-Making,152,No,3,No,No,Quick Results,4,Low
U016,18–25,Impatient,Fast-Result Seeker,Learning,1122,No,1,No,Yes,Quick Results,9,Low
U017,36–45,Patient,Struggler,Decision-Making,391,Yes,9,No,Yes,Quick Results,7,High
U018,18–25,Impatient,Burnout Survivor,Learning,831,No,9,Yes,Yes,Quick Results,2,High
U019,26–35,Impatient,Burnout Survivor,Working,363,Yes,5,No,Yes,Quick Results,5,High
U020,18–25,Impatient,Struggler,Working,274,Yes,4,No,Yes,Long-Term Effort,10,Low
U021,36–45,Impatient,Silent Achiever,Waiting,425,No,1,No,Yes,Long-Term Effort,1,High
U022,18–25,Patient,Happy Learner,Working,124,Yes,9,No,Yes,Long-Term Effort,6,Medium
U023,26–35,Impatient,Confused Beginner,Learning,80,Yes,10,No,Yes,Long-Term Effort,9,Low
U024,36–45,Patient,Overconfident Dropper,Decision-Making,647,Yes,7,No,Yes,Long-Term Effort,3,High
U025,26–35,Impatient,Confused Beginner,Learning,157,No,7,Yes,No,Quick Results,9,Medium
U026,26–35,Patient,Silent Achiever,Waiting,310,Yes,1,No,Yes,Long-Term Effort,3,Medium
U027,18–25,Impatient,Confused Beginner,Working,1027,Yes,9,No,Yes,Long-Term Effort,4,High
U028,36–45,Patient,Burnout Survivor,Waiting,1195,Yes,8,No,Yes,Quick Results,0,Low
U029,26–35,Impatient,Overconfident Dropper,Waiting,1048,No,7,Yes,No,Long-Term Effort,4,High
U030,26–35,Impatient,Confused Beginner,Learning,481,Yes,6,No,Yes,Long-Term Effort,7,Low
U031,26–35,Impatient,Silent Achiever,Learning,448,Yes,7,No,Yes,Quick Results,2,Low
U032,26–35,Patient,Happy Learner,Waiting,446,Yes,4,No,Yes,Quick Results,2,Medium
U033,18–25,Patient,Happy Learner,Working,323,Yes,3,No,Yes,Quick Results,2,Medium
U034,26–35,Patient,Silent Achiever,Waiting,1008,No,7,Yes,No,Quick Results,10,High
U035,26–35,Patient,Fast-Result Seeker,Decision-Making,168,No,9,Yes,Yes,Quick Results,4,Medium
U036,36–45,Patient,Happy Learner,Decision-Making,1167,No,5,No,Yes,Long-Term Effort,5,High
U037,26–35,Patient,Burnout Survivor,Learning,1130,No,7,Yes,Yes,Quick Results,1,Low
U038,36–45,Impatient,Happy Learner,Working,550,Yes,3,No,Yes,Long-Term Effort,4,Medium
U039,18–25,Impatient,Happy Learner,Learning,878,Yes,8,No,Yes,Quick Results,2,Low
U040,26–35,Patient,Burnout Survivor,Decision-Making,1005,Yes,8,No,Yes,Quick Results,2,Low
U041,36–45,Patient,Burnout Survivor,Waiting,1174,No,2,No,Yes,Quick Results,4,Low
U042,36–45,Impatient,Fast-Result Seeker,Working,577,Yes,2,No,Yes,Quick Results,4,Low
U043,36–45,Patient,Struggler,Waiting,297,Yes,2,No,Yes,Long-Term Effort,9,High
U044,36–45,Impatient,Silent Achiever,Learning,714,No,3,No,No,Quick Results,10,Medium
U045,18–25,Impatient,Happy Learner,Working,871,No,10,Yes,No,Long-Term Effort,4,Medium
U046,36–45,Patient,Burnout Survivor,Waiting,438,No,3,No,Yes,Long-Term Effort,9,Low
U047,36–45,Impatient,Overconfident Dropper,Working,354,No,9,Yes,No,Long-Term Effort,7,Medium
U048,26–35,Patient,Happy Learner,Waiting,942,No,9,Yes,No,Long-Term Effort,8,Medium
U049,36–45,Patient,Struggler,Learning,906,Yes,6,No,Yes,Quick Results,0,Medium
U050,26–35,Impatient,Silent Achiever,Working,1083,No,9,Yes,No,Long-Term Effort,4,High
U051,46-60,Patient,Mindful Worker,Waiting,901,No,1,No,No,Multitask,2,High
U052,26-35,Impatient,Happy Learner,Learning,354,No,3,No,No,Step-by-step,4,Medium
U053,46-60,Impatient,Mindful Worker,Learning,592,No,4,Yes,Yes,Fast-track,4,Medium
U054,26-35,Impatient,Easily Distracted,Decision-Making,300,No,3,No,Yes,Step-by-step,5,Medium
